Code,country,region,health_index,obese_rate,suicide_rate,democracies_rate,hdr_rate,life_Exp,gpi,iq_rate,"Deaths per 1,000 live births",gdp_usd,Ipc
32,Argentina,LATIN AMER. & CARIB,54.4,28.3,8.4,6.81,0.845,76.064,1.911,86.63,7.61,8549,1029.0
68,Bolivia,LATIN AMER. & CARIB,29.9,20.2,6.2,4.65,0.718,64.928,1.989,76.53,20.72,3018,108.0
76,Brazil,LATIN AMER. & CARIB,51.2,22.1,6.9,6.86,0.765,73.425,2.465,83.38,13.13,6728,6408.0
152,Chile,LATIN AMER. & CARIB,56.2,28.0,9.0,7.92,0.851,79.519,1.84,87.89,5.77,12880,127.0
170,Colombia,LATIN AMER. & CARIB,53.2,22.3,3.9,6.48,0.767,73.659,2.729,83.13,11.35,5213,124.0
188,Costa Rica,LATIN AMER. & CARIB,40.8,25.7,8.1,8.07,0.81,77.32,1.732,88.34,6.73,11995,111.0
192,Cuba,LATIN AMER. & CARIB,30.5,24.6,14.5,2.59,0.783,78.155,2.083,83.9,4.08,7999,
214,Dominican Republic,LATIN AMER. & CARIB,34.5,27.6,4.9,6.45,0.756,74.17,1.99,82.05,27.87,7029,120.0
218,Ecuador,LATIN AMER. & CARIB,50.8,19.9,7.6,5.71,0.759,77.894,1.988,78.26,11.15,5516,110.0
222,El Salvador,LATIN AMER. & CARIB,40.8,24.6,6.1,5.72,0.673,71.475,2.231,69.63,11.08,3888,127.0
320,Guatemala,LATIN AMER. & CARIB,29.1,21.2,5.9,4.62,0.663,68.674,2.139,47.72,20.06,4349,167.0
328,Guyana,LATIN AMER. & CARIB,30.8,20.2,40.3,6.25,0.682,65.989,2.14,83.23,23.78,6765,137.0
340,Honduras,LATIN AMER. & CARIB,26.2,21.4,2.1,5.1,0.634,70.728,2.269,62.16,13.94,2284,399.0
388,Jamaica,LATIN AMER. & CARIB,31.8,24.7,2.4,7.13,0.734,70.629,1.99,75.08,11.43,4940,126.0
484,Mexico,LATIN AMER. & CARIB,57.0,28.9,5.3,5.57,0.779,74.832,2.612,87.73,11.77,8526,125.0
558,Nicaragua,LATIN AMER. & CARIB,36.3,23.7,4.4,2.69,0.66,74.615,2.334,52.69,13.79,1816,280.0
591,Panama,LATIN AMER. & CARIB,53.5,22.7,2.9,6.85,0.815,76.826,1.876,79.0,12.34,12244,108.0
600,Paraguay,LATIN AMER. & CARIB,40.3,20.3,6.0,5.86,0.728,70.475,1.976,84.04,16.18,5225,124.0
604,Peru,LATIN AMER. & CARIB,54.9,19.7,2.8,6.09,0.777,73.385,2.091,81.44,9.95,6027,107.0
858,Uruguay,LATIN AMER. & CARIB,40.3,27.9,21.2,8.85,0.817,78.0,1.795,87.59,5.32,15648,261.0
862,Venezuela,LATIN AMER. & CARIB,20.9,25.6,2.1,2.11,0.711,71.105,2.798,82.99,21.06,1670,5654207.0
